INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,Count,id,Point
 Eastbound Stoney Trail and Country Hills Boulevard NW ,Traffic incident.,12/4/2025 22:00,12/4/2025 15:58,NW,-114.2052366,51.14242026,1,2025-12-04T22:00:3551.14242026185941-114.20523660648625,POINT (-114.20523660648625 51.14242026185941)
 Country Hills Boulevard and Panorama Hills Boulevard NW ,Two vehicle incident. Blocking multiple lanes,12/4/2025 21:58,12/4/2025 15:13,NW,-114.074136,51.148449,1,2025-12-04T21:58:3751.148448999603865-114.0741359544982,POINT (-114.0741359544982 51.148448999603865)
 32 Street and 20 Avenue NE ,Traffic incident.,12/4/2025 21:55,12/4/2025 15:58,NE,-113.988699,51.07069804,1,2025-12-04T21:55:5851.07069804303207-113.98869895554525,POINT (-113.98869895554525 51.07069804303207)
 Blackfoot Trail and Alyth Road SE ,Traffic incident.,12/4/2025 21:38,12/4/2025 15:58,SE,-114.0254369,51.03403196,1,2025-12-04T21:38:3551.034031960042384-114.02543693230291,POINT (-114.02543693230291 51.034031960042384)
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,Blocking the right lane,12/4/2025 20:56,12/4/2025 16:15,SE,-114.0312636,51.00170844,1,2025-12-04T20:56:4951.00170843818667-114.03126355166776,POINT (-114.03126355166776 51.00170843818667)
 Northbound Deerfoot Trail and Glenmore Trail SE ,Two vehicle incident.  Blocking multiple lanes,12/4/2025 20:39,12/4/2025 13:59,SE,-114.039252,50.99417104,1,2025-12-04T20:39:2950.994171041580366-114.03925199779404,POINT (-114.03925199779404 50.994171041580366)
 Northbound Shaganappi Trail at Crowchild Trail NW ,Two vehicle incident. Blocking multiple lanes in the intersection,12/4/2025 17:42,12/4/2025 10:51,NW,-114.148217,51.09811224,1,2025-12-04T17:42:4751.098112238368195-114.14821698359056,POINT (-114.14821698359056 51.098112238368195)
 Northbound Blackfoot Trail north of Southland Drive SE ,Traffic incident. Blocking the right lane,12/4/2025 16:18,12/4/2025 10:02,SE,-114.0397034,50.96820879,1,2025-12-04T16:18:4950.96820879244714-114.03970335769986,POINT (-114.03970335769986 50.96820879244714)
 Eastbound Stoney Trail approaching 11 Street NE ,Two vehicle incident. Blocking the left lanes,12/4/2025 15:53,12/4/2025 9:38,NW,-114.0488617,51.17468248,1,2025-12-04T15:53:3251.17468247831871-114.0488616673834,POINT (-114.0488616673834 51.17468247831871)
 Southbound Deerfoot Trail approaching Southland Drive SE ,Single vehicle incident. Blocking the right shoulder,12/4/2025 15:44,12/4/2025 10:51,SE,-114.0402613,50.97366939,1,2025-12-04T15:44:3550.97366939491429-114.04026133522513,POINT (-114.04026133522513 50.97366939491429)
 Eastbound 16 Avenue approaching 19 Street NE ,Stalled vehicle. Blocking the centre lane,12/4/2025 15:28,12/4/2025 9:38,NE,-114.0144438,51.06688292,1,2025-12-04T15:28:3551.06688291950653-114.01444375572538,POINT (-114.01444375572538 51.06688291950653)
 Southbound Stoney Trail south of 16 Avenue NW ,Traffic incident. Blocking the left lane,12/4/2025 15:05,12/4/2025 9:20,NW,-114.2284117,51.08149134,1,2025-12-04T15:05:3851.08149133645775-114.22841171777517,POINT (-114.22841171777517 51.08149133645775)
 Stoney Trail and Old Banff Coach Road SW ,Traffic incident.,12/4/2025 15:05,12/4/2025 8:08,SW,-114.2255188,51.06693975,1,2025-12-04T15:05:3851.066939747239964-114.22551884229647,POINT (-114.22551884229647 51.066939747239964)
 Northbound Sarcee Trail approaching 17 Avenue SW ,Single vehicle incident. Partially blocking the NB exit ramp,12/4/2025 15:01,12/4/2025 9:20,SW,-114.1641185,51.03694751,1,2025-12-04T15:01:4851.036947514206005-114.16411847725703,POINT (-114.16411847725703 51.036947514206005)
 Eastbound Beddington Trail at Beddington Boulevard NW ,Traffic incident.,12/4/2025 14:39,12/4/2025 8:08,NW,-114.0814131,51.13818471,1,2025-12-04T14:39:2351.13818470944992-114.0814131110688,POINT (-114.0814131110688 51.13818470944992)
 Country Hills Boulevard and Deerfoot Trail NE ,Stalled vehicle. Blocking the right lane on the SB to EB exit,12/4/2025 14:36,12/4/2025 7:40,NE,-114.0206679,51.15446015,1,2025-12-04T14:36:1151.154460146550065-114.02066785419922,POINT (-114.02066785419922 51.154460146550065)
 162 Avenue and 24 Street SW ,Traffic incident.,12/4/2025 13:47,12/4/2025 7:58,SW,-114.1172056,50.90688902,1,2025-12-04T13:47:3950.90688902019908-114.11720556490718,POINT (-114.11720556490718 50.90688902019908)
 Northbound Sarcee Trail north of 17 Avenue SW ,Traffic incident.  Blocking the right lane,12/4/2025 12:09,12/4/2025 6:48,SW,-114.164156,51.04515483,1,2025-12-04T12:09:5951.04515483080957-114.16415603279586,POINT (-114.16415603279586 51.04515483080957)
 Southbound Deerfoot Trail and Barlow Trail SE ,Traffic incident.  Blocking the right lane,12/4/2025 6:55,12/4/2025 0:01,SE,-113.9785573,50.94234198,1,2025-12-04T06:55:4450.942341977590544-113.97855730462601,POINT (-113.97855730462601 50.942341977590544)
 Stonehill Drive and Barlow Trail NE ,Traffic incident.,12/4/2025 4:59,12/3/2025 22:00,NE,-113.9935297,51.16620404,1,2025-12-04T04:59:0051.166204039717755-113.99352967637839,POINT (-113.99352967637839 51.166204039717755)
 Northbound 18 Street and Glenmore Trail SE ,Traffic incident. Blocking the right lane,12/4/2025 2:36,12/3/2025 20:16,SE,-114.0157541,50.98129128,1,2025-12-04T02:36:3350.98129128125196-114.01575414737893,POINT (-114.01575414737893 50.98129128125196)
 Westbound Glenmore Trail approaching Crowchild Trail SW ,Traffic incident.,12/4/2025 1:43,12/3/2025 18:44,SW,-114.1118015,50.99911798,1,2025-12-04T01:43:1850.99911798356122-114.11180150634968,POINT (-114.11180150634968 50.99911798356122)
 Shawnee Li and Millrise Hl SW ,Traffic incident.,12/4/2025 1:07,12/3/2025 19:38,SW,-114.0892605,50.92129799,1,2025-12-04T01:07:3750.92129798826568-114.08926054385314,POINT (-114.08926054385314 50.92129798826568)
 16 Street and 120 Avenue NE ,Traffic incident.,12/3/2025 22:31,12/3/2025 18:08,NE,-114.023241,51.16163396,1,2025-12-03T22:31:4451.161633960673-114.02324102373396,POINT (-114.02324102373396 51.161633960673)
 Northbound Macleod Trail after Canyon Meadows Drive SE ,Multi-vehicle incident. Blocking the two right lanes,12/3/2025 22:04,12/3/2025 16:39,SE,-114.0687002,50.93643734,1,2025-12-03T22:04:3350.93643733532936-114.06870021967826,POINT (-114.06870021967826 50.93643733532936)
 Northbound Macleod Trail and 86 Avenue SE ,Traffic signals work in progress. Blocking the right lane. Crews dispatched.,12/3/2025 21:42,12/3/2025 15:46,SE,-114.071706,50.97590997,1,2025-12-03T21:42:3150.975909967110056-114.07170602847303,POINT (-114.07170602847303 50.975909967110056)
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,Two vehicle incident. Blocking the right lane,12/3/2025 21:31,12/3/2025 15:46,SE,-114.0330324,50.9992024,1,2025-12-03T21:31:3550.99920240366048-114.03303244343489,POINT (-114.03303244343489 50.99920240366048)
 Manchester Road and 39 Avenue SE ,Traffic incident.,12/3/2025 21:16,12/3/2025 15:32,SE,-114.0599115,51.01782296,1,2025-12-03T21:16:4051.01782296427885-114.05991153724005,POINT (-114.05991153724005 51.01782296427885)
 Northbound Barlow Trail after Airport Trail NE ,Two vehicle incident. Blocking the right lane,12/3/2025 19:59,12/3/2025 16:59,NE,-114.0015939,51.14129907,1,2025-12-03T19:59:1051.141299067270566-114.00159392199755,POINT (-114.00159392199755 51.141299067270566)
 Northbound Deerfoot Trail at Airport Trail NE ,Traffic incident. Blocking the right lanes,12/3/2025 18:51,12/3/2025 14:17,NE,-114.0323297,51.14338981,1,2025-12-03T18:51:3051.14338981251974-114.0323296584227,POINT (-114.0323296584227 51.14338981251974)
 14 Street and Anderson Road SW ,Multi-vehicle incident. Blocking multiple lanes in the intersection,12/3/2025 18:10,12/3/2025 11:30,NW,-114.0948333,50.95046458,1,2025-12-03T18:10:0250.95046457737474-114.0948333389444,POINT (-114.0948333389444 50.95046457737474)
 Falconridge Boulevard and Falworth Road NE ,There is an incident involving a pedestrian- EMS Dispatched.,12/3/2025 18:04,12/3/2025 12:25,NE,-113.954556,51.10395539,1,2025-12-03T18:04:4851.103955394680014-113.95455598919892,POINT (-113.95455598919892 51.103955394680014)
 58 Avenue west of Macleod Trail SW ,Two vehicle incident. Blocking the left lane EB and WB,12/3/2025 17:48,12/3/2025 10:51,SW,-114.0737574,51.00137344,1,2025-12-03T17:48:3751.00137343944967-114.07375742224383,POINT (-114.07375742224383 51.00137343944967)
 Northbound 36 Street at 12 Avenue SE ,Traffic incident. Blocking the right lane,12/3/2025 17:43,12/3/2025 11:54,SE,-113.9816655,51.04249201,1,2025-12-03T17:43:1451.042492009282-113.9816655448595,POINT (-113.9816655448595 51.042492009282)
 John Laurie Boulevard and Sarcee Trail NW ,Two vehicle incident.  Blocking the SB right lane and WB right lane,12/3/2025 17:26,12/3/2025 13:36,NW,-114.1668895,51.12106334,1,2025-12-03T17:26:5651.12106334307002-114.16688948744675,POINT (-114.16688948744675 51.12106334307002)
 68 Street and 106 Avenue SE ,Traffic incident.,12/3/2025 17:21,12/3/2025 11:30,SE,-113.9350749,50.96247986,1,2025-12-03T17:21:2350.96247985649387-113.93507487108191,POINT (-113.93507487108191 50.96247985649387)
 37 Avenue and 26 Street NE ,Traffic incident.,12/3/2025 17:09,12/3/2025 11:08,NE,-113.9977844,51.08666397,1,2025-12-03T17:09:1251.08666397238917-113.99778444118408,POINT (-113.99778444118408 51.08666397238917)
 Northbound Deerfoot Trail at Stoney Trail NE ,Traffic incident. Blocking the left lanes,12/3/2025 17:05,12/3/2025 12:41,NE,-114.0007304,51.17222074,1,2025-12-03T17:05:4951.172220736558934-114.00073041422765,POINT (-114.00073041422765 51.172220736558934)
 Eastbound Bow Trail at 26 Street SW ,Traffic incident. Blocking the right lanes,12/3/2025 16:48,12/3/2025 10:28,SW,-114.1236187,51.0415344,1,2025-12-03T16:48:0251.04153440381429-114.12361872332393,POINT (-114.12361872332393 51.04153440381429)
 Southbound 14 Street after 64 Avenue NW ,Two vehicle incident. Blocking the left lane,12/3/2025 16:15,12/3/2025 10:32,NW,-114.0840194,51.10827775,1,2025-12-03T16:15:1351.108277745684205-114.0840193853457,POINT (-114.0840193853457 51.108277745684205)
 Northbound Richard Road at Richardson Wy SW ,Two vehicle incident. Blocking the right lane,12/3/2025 16:12,12/3/2025 10:51,SW,-114.121077,51.01319917,1,2025-12-03T16:12:0351.01319916870692-114.1210769648922,POINT (-114.1210769648922 51.01319916870692)
 Southbound Deerfoot Trail south of 210 Avenue SE ,Traffic incident.,12/3/2025 16:08,12/3/2025 11:12,SE,-113.9692509,50.85759588,1,2025-12-03T16:08:1050.857595879374216-113.96925087293017,POINT (-113.96925087293017 50.857595879374216)
 Southbound Deerfoot Trail after Stoney Trail SE ,Two vehicle incident. Blocking the left lane,12/3/2025 16:06,12/3/2025 9:49,SE,-113.9750936,50.89566531,1,2025-12-03T16:06:3850.89566531226867-113.97509364222405,POINT (-113.97509364222405 50.89566531226867)
 Bannister Road and 151 Avenue SE ,Traffic incident.,12/3/2025 16:05,12/3/2025 9:49,SE,-114.0677955,50.91729303,1,2025-12-03T16:05:3450.91729302592385-114.06779554840135,POINT (-114.06779554840135 50.91729302592385)
 Eastbound Crowchild Trail at Stoney Trail NW ,Traffic incident. Blocking the right lane,12/3/2025 15:57,12/3/2025 10:32,NW,-114.2198502,51.12768374,1,2025-12-03T15:57:1451.127683741858235-114.2198501938456,POINT (-114.2198501938456 51.127683741858235)
 Westbound 9 Avenue at 4 Street SE ,"Ongoing incident, blocking the WB lane",12/3/2025 15:35,12/3/2025 9:00,SE,-114.0540722,51.0443882,1,2025-12-03T15:35:2451.0443882025121-114.05407217175579,POINT (-114.05407217175579 51.0443882025121)
 3 Street at 7 Avenue SE ,There is an incident involving a pedestrian- EMS on site. Blocking the NB and SB lanes,12/3/2025 15:20,12/3/2025 8:37,SE,-114.0555915,51.04628999,1,2025-12-03T15:20:5951.04628998708793-114.0555914824396,POINT (-114.0555914824396 51.04628998708793)
 3 Street b/w 6 Avenue and 9 Avenue SE ,There is an incident involving a pedestrian- EMS on site. The road is closed NB and SB,12/3/2025 15:20,12/3/2025 9:10,SE,-114.0556002,51.04627281,1,2025-12-03T15:20:5951.04627281257147-114.05560016115525,POINT (-114.05560016115525 51.04627281257147)
 Northbound Stoney Trail north of Country Hills Boulevard NE ,Multi-vehicle incident.  Blocking the right lane,12/3/2025 15:02,12/3/2025 9:10,NE,-113.9185512,51.16421533,1,2025-12-03T15:02:4651.16421533424006-113.91855117564899,POINT (-113.91855117564899 51.16421533424006)
 Barlow Trail and 37 Avenue NE ,Traffic incident. Blocking the NB right lane,12/3/2025 15:01,12/3/2025 9:14,NE,-114.0014674,51.08681294,1,2025-12-03T15:01:1551.08681294301637-114.00146744167874,POINT (-114.00146744167874 51.08681294301637)
 Southbound 52 Street at Whitehorn Drive NE ,Traffic incident.  Blocking the right lane,12/3/2025 14:47,12/3/2025 8:08,NE,-113.9584646,51.08588809,1,2025-12-03T14:47:4851.08588808827551-113.95846459136558,POINT (-113.95846459136558 51.08588808827551)
 Signature Wy and Sirocco Drive SW ,Traffic incident.,12/3/2025 14:46,12/3/2025 9:00,SW,-114.1679969,51.03599925,1,2025-12-03T14:46:0851.03599924809416-114.16799685712391,POINT (-114.16799685712391 51.03599924809416)
 Southbound 14 Street at Northmount Drive NW ,Traffic incident. Blocking the right lane,12/3/2025 14:36,12/3/2025 7:49,NW,-114.0948494,51.08317447,1,2025-12-03T14:36:0051.0831744746771-114.0948493670206,POINT (-114.0948493670206 51.0831744746771)
 Northbound Deerfoot Trail SE on the Calf Robe Bridge ,Stalled vehicle. Blocking the right lane,12/3/2025 14:17,12/3/2025 9:49,SE,-114.0175462,51.00832366,1,2025-12-03T14:17:1051.00832365718191-114.01754619465817,POINT (-114.01754619465817 51.00832365718191)
 68 Street and 8 Avenue NE ,Traffic incident.,12/3/2025 14:11,12/3/2025 8:08,NE,-113.9355674,51.05965496,1,2025-12-03T14:11:5151.059654961258424-113.93556743743078,POINT (-113.93556743743078 51.059654961258424)
 Richmond Road and Sarcee Trail SW ,Two vehicle incident. Blocking the WB left lanes,12/3/2025 13:49,12/3/2025 7:49,SW,-114.1638535,51.01810084,1,2025-12-03T13:49:4851.01810083751181-114.16385354316127,POINT (-114.16385354316127 51.01810083751181)
 Southbound Macleod Trail at Bannister Road S ,Two vehicle incident. Blocking the left lane,12/3/2025 13:13,12/3/2025 6:19,SE,-114.0712802,50.92636862,1,2025-12-03T13:13:5950.92636861770488-114.07128020607686,POINT (-114.07128020607686 50.92636861770488)
 Eastbound 58 Avenue and Blackfoot Trail SE ,Multi-vehicle incident.  Blocking the right lane,12/3/2025 7:22,12/3/2025 0:53,SE,-114.0474745,51.00136622,1,2025-12-03T07:22:0751.00136621819413-114.04747450397947,POINT (-114.04747450397947 51.00136621819413)
 Southbound 1 Street and 7 Avenue SE ,Traffic incident. Blocking the left lane,12/3/2025 7:10,12/3/2025 0:24,SE,-114.060519,51.046416,1,2025-12-03T07:10:1351.046416002880974-114.06051900195104,POINT (-114.06051900195104 51.046416002880974)
 Southland Drive and Braeside Drive SW ,Traffic incident.,12/3/2025 6:49,12/3/2025 0:24,SW,-114.1033801,50.96139378,1,2025-12-03T06:49:0650.961393776632576-114.10338013604283,POINT (-114.10338013604283 50.961393776632576)
 Northbound Deerfoot Trail ramp to Stoney Trail NE ,Traffic incident.,12/3/2025 6:20,12/2/2025 23:34,NE,-114.0005015,51.17659603,1,2025-12-03T06:20:0051.17659603344622-114.00050151995717,POINT (-114.00050151995717 51.17659603344622)
 Macleod Trail and 42 Avenue SW ,Traffic incident.,12/3/2025 6:13,12/2/2025 23:34,SW,-114.064533,51.015942,1,2025-12-03T06:13:1151.01594199954474-114.06453296661536,POINT (-114.06453296661536 51.01594199954474)
 Eastbound 17 Avenue and Macleod Trail SE ,Traffic incident.  Blocking the right lane,12/3/2025 5:12,12/2/2025 22:14,SE,-114.0589928,51.03782385,1,2025-12-03T05:12:2451.03782385150317-114.05899284226932,POINT (-114.05899284226932 51.03782385150317)
 Northbound Macleod Trail and 109 Avenue SE ,Traffic incident. Blocking the left lane,12/3/2025 5:08,12/2/2025 23:34,SE,-114.0715025,50.95554069,1,2025-12-03T05:08:4650.955540693321964-114.07150245464133,POINT (-114.07150245464133 50.955540693321964)
 Eastbound Glenmore Trail and Macleod Trail SE ,Multi-vehicle incident. Blocking the right lane,12/3/2025 4:25,12/2/2025 23:23,SE,-114.0716137,50.99427588,1,2025-12-03T04:25:0250.99427588150496-114.07161367064425,POINT (-114.07161367064425 50.99427588150496)
 Southbound Deerfoot Trail and Stoney Trail SE ,Traffic incident.,12/3/2025 3:40,12/2/2025 22:21,SE,-113.975524,50.90743784,1,2025-12-03T03:40:4650.90743783981903-113.97552401498906,POINT (-113.97552401498906 50.90743783981903)
 University Drive and 16 Avenue NW ,Traffic incident.,12/3/2025 3:21,12/2/2025 21:02,NW,-114.126606,51.06848401,1,2025-12-03T03:21:5351.06848401177616-114.1266060063892,POINT (-114.1266060063892 51.06848401177616)
 Southbound Falconridge Boulevard and Martindale Boulevard NE ,Two vehicle incident. Blocking the right lane,12/3/2025 2:37,12/2/2025 19:51,NE,-113.9471954,51.114195,1,2025-12-03T02:37:1151.11419500254246-113.94719542981282,POINT (-113.94719542981282 51.11419500254246)
 Berkshire and Sandstone Drive Boulevard NW ,Traffic incident.,12/3/2025 1:45,12/2/2025 21:02,NW,-114.0892784,51.13382396,1,2025-12-03T01:45:5851.13382396110446-114.08927844705829,POINT (-114.08927844705829 51.13382396110446)
 Westbound 58 Avenue and 3 Street SE ,Multi-vehicle incident. Blocking the right lane,12/3/2025 1:37,12/2/2025 18:54,SE,-114.057063,51.00138899,1,2025-12-03T01:37:1851.00138898818267-114.05706298554831,POINT (-114.05706298554831 51.00138898818267)
 Southbound Deerfoot Trail and 130 Avenue SE ,Multi-vehicle incident. Blocking the right lane,12/3/2025 1:18,12/2/2025 22:38,SE,-113.9757376,50.91989362,1,2025-12-03T01:18:2450.91989362145343-113.97573764401635,POINT (-113.97573764401635 50.91989362145343)
 Mcknight Boulevard and Edmonton Trail NE ,Traffic incident. Blocking multiple lanes,12/3/2025 1:15,12/2/2025 18:19,NE,-114.0540659,51.09574499,1,2025-12-03T01:15:2751.09574498622729-114.05406594716307,POINT (-114.05406594716307 51.09574498622729)
 Southbound 36 Street and Sunridge Wy NE ,Two vehicle incident. Blocking the right lane,12/3/2025 1:05,12/2/2025 20:41,NE,-113.984946,51.067305,1,2025-12-03T01:05:2951.0673049985114-113.98494598606183,POINT (-113.98494598606183 51.0673049985114)
 9 Avenue and 4 Street SE ,Traffic incident. Blocking the right lane,12/3/2025 1:00,12/2/2025 19:10,SE,-114.053229,51.04429204,1,2025-12-03T01:00:5151.0442920397976-114.05322897940465,POINT (-114.05322897940465 51.0442920397976)
 Southbound Tsuutina Trail and 90 Avenue SW ,Traffic incident.,12/3/2025 0:54,12/2/2025 19:10,SW,-114.1493578,50.96627372,1,2025-12-03T00:54:1950.966273717478-114.14935781544118,POINT (-114.14935781544118 50.966273717478)
 Haddon Road and Southland Gr SW ,Traffic incident.,12/3/2025 0:51,12/2/2025 19:39,SW,-114.0792863,50.96470048,1,2025-12-03T00:51:3350.96470047810514-114.07928630068957,POINT (-114.07928630068957 50.96470047810514)
 37 Street and 45 Avenue SW ,Traffic incident.,12/3/2025 0:37,12/2/2025 18:19,SW,-114.141168,51.01475397,1,2025-12-03T00:37:0351.014753972117376-114.1411679895155,POINT (-114.1411679895155 51.014753972117376)
 Eastbound 16 Avenue and Sarcee Trail NW ,Single vehicle incident. Blocking the right lane,12/3/2025 0:34,12/2/2025 23:23,NW,-114.1947852,51.08169819,1,2025-12-03T00:34:0751.08169818945311-114.19478516894078,POINT (-114.19478516894078 51.08169818945311)
 Sun Valley Boulevard and Sunmills Drive SE ,Traffic incident.,12/3/2025 0:31,12/2/2025 19:39,SE,-114.047478,50.90634899,1,2025-12-03T00:31:5450.906348992460394-114.04747803925322,POINT (-114.04747803925322 50.906348992460394)
 Eastbound Anderson Road and  Acadia Drive SE ,Traffic incident. Blocking the right lane,12/3/2025 0:25,12/2/2025 17:39,SE,-114.0441524,50.94833401,1,2025-12-03T00:25:1950.94833401357859-114.04415243280071,POINT (-114.04415243280071 50.94833401357859)
 68 Street and 32 Avenue NE ,Traffic incident.,12/3/2025 0:15,12/2/2025 18:19,NE,-113.9347035,51.08147103,1,2025-12-03T00:15:2251.081471033083844-113.93470351471527,POINT (-113.93470351471527 51.081471033083844)
 Westbound Crowchild Trail approaching Shaganappi Trail NW ,Two vehicle incident.,12/3/2025 0:12,12/2/2025 17:18,NW,-114.1431713,51.09466569,1,2025-12-03T00:12:4651.09466568707972-114.14317125165972,POINT (-114.14317125165972 51.09466568707972)
 Elbow Drive and 4 Street SW ,Two vehicle incident. Blocking multiple lanes,12/3/2025 0:11,12/2/2025 18:47,SW,-114.071526,51.02970297,1,2025-12-03T00:11:2351.02970297285127-114.07152597482026,POINT (-114.07152597482026 51.02970297285127)
 8 Avenue and 52 Street SE ,Traffic incident.,12/3/2025 0:08,12/2/2025 18:54,SE,-113.9583475,51.04514456,1,2025-12-03T00:08:1051.04514455958684-113.95834745048903,POINT (-113.95834745048903 51.04514455958684)
 Westbound Memorial Drive and Centre Street N ,Stalled vehicle.,12/2/2025 23:58,12/2/2025 18:07,NW,-114.0623172,51.05446617,1,2025-12-02T23:58:4551.05446616665963-114.0623171533975,POINT (-114.0623171533975 51.05446616665963)
 Westbound John Laurie Boulevard and Charleswood Drive NW ,Stalled vehicle. Blocking the right lane,12/2/2025 23:16,12/2/2025 16:17,NW,-114.1160203,51.0966736,1,2025-12-02T23:16:3651.0966735951689-114.11602034779014,POINT (-114.11602034779014 51.0966735951689)
 Westbound Stoney Trail approaching Shaganappi Trail NW ,Stalled vehicle.,12/2/2025 22:04,12/2/2025 17:08,NW,-114.1562258,51.15217013,1,2025-12-02T22:04:2151.15217012953741-114.1562257653876,POINT (-114.1562257653876 51.15217012953741)
 Westbound 24 Avenue and Campus Gate NW ,Traffic incident. Blocking the right lane,12/2/2025 20:57,12/2/2025 15:06,NW,-114.123546,51.07525203,1,2025-12-02T20:57:3051.07525203204132-114.12354600402524,POINT (-114.12354600402524 51.07525203204132)
 Stonehill Drive and Stonehill Pl NE ,Traffic incident.,12/2/2025 19:18,12/2/2025 13:08,NE,-114.006663,51.156378,1,2025-12-02T19:18:3051.15637799762758-114.00666302524009,POINT (-114.00666302524009 51.15637799762758)
 Southbound 34 Street at Sunridge Way NE ,Traffic incident. Blocking the SB left lane,12/2/2025 19:13,12/2/2025 12:26,NE,-113.986188,51.06871797,1,2025-12-02T19:13:3451.06871797275748-113.9861879848888,POINT (-113.9861879848888 51.06871797275748)
 Bow Trail and Sarcee Trail SW ,Two vehicle incident.  Blocking the EB to NB left turn lane. The SB right lane and WB right lane is blocked.,12/2/2025 19:03,12/2/2025 12:26,SW,-114.1644734,51.05289778,1,2025-12-02T19:03:0951.052897782588495-114.16447337485843,POINT (-114.16447337485843 51.052897782588495)
 Bow Trail and Sarcee Trail SW ,Two vehicle incident. Blocking the EB to NB left turn lane,12/2/2025 19:03,12/2/2025 12:19,SW,-114.1643551,51.05263374,1,2025-12-02T19:03:0951.05263374088521-114.16435505455145,POINT (-114.16435505455145 51.05263374088521)
 4 Avenue and 9 Street SW ,There is an incident involving a pedestrian- EMS Dispatched. Blocking the WB thru lanes and SB left lanes,12/2/2025 18:05,12/2/2025 11:07,SW,-114.083487,51.04990803,1,2025-12-02T18:05:2651.04990802855004-114.0834870097611,POINT (-114.0834870097611 51.04990802855004)
 Shawville Gate and Somervale Court SW ,Traffic signals are flashing red. Crew has been dispatched,12/2/2025 17:57,12/2/2025 12:04,SW,-114.0701444,50.89811401,1,2025-12-02T17:57:0450.89811401369034-114.07014443690458,POINT (-114.07014443690458 50.89811401369034)
 33 Avenue and 14 Street SW ,Traffic signals are flashing red. Crew has been dispatched,12/2/2025 17:23,12/2/2025 10:26,SW,-114.0947055,51.02400604,1,2025-12-02T17:23:0451.02400603565922-114.0947054861345,POINT (-114.0947054861345 51.02400603565922)
